Gender,Age,Working_professional,Annual_income,Mode_of_investment,Investment_per_month,Motivation_cause,Resources_used,Goal_for_investment,Duration_to_save(in_Years),Mode_of_investment_numeric
Female,60,1,400000,Marketing ,5000,Self Interest ,Mobile applications,Personal Savings,1,0
Female,38,0,150000,"Real estate, Bonds",7000,Agents/Investment brokers,Books,Planning for finacial freedom after Retirement,5,3
Male,22,0,180000,Mutual Funds,2000,No one,Family members/Friends,Regarding your / Your Siblings marriage,15,0
Female,33,1,0,Marketing ,0,Through Bank,Brokers,Construction of own House / Buying a new Car,9,2
Female,34,0,150000,Gold / Any other Materialistic investment,3000,Schemes,Books,Tax saving,20,5
Male,40,0,280000,Chit fund,5000,Self,News articles / Current affairs,Planning for finacial freedom after Retirement,25,0
Female,42,0,0,Not prepared ,7000,No one,Books,All the above ,21,2
Female,24,1,260000,Mutual Funds,0,Self motivation ,News articles / Current affairs,Planning for finacial freedom after Retirement,7,4
Female,25,1,600000,Not prepared ,5000,No one,Books,Tax saving,15,4
Female,25,1,150000,Crypto currency,7000,Social media/ Articles,Mobile applications,Personal Savings,20,3
Female,45,0,260000,Mutual Funds,10000,Social media/ Articles,Investors in bank,Construction of own House / Buying a new Car,3,7
Female,42,1,400000,Gold / Any other Materialistic investment,3000,Schemes,Family members/Friends,Tax saving,10,6
Male,19,1,260000,Mutual Funds,2000,Friends,Investors in bank,Children's education/ Marriage,3,4
Female,48,0,384000,Crypto currency,5000,Self motivation ,Investors in bank,All the above ,20,6
Female,50,1,384000,Not prepared ,1000,Self ,Family members/Friends,Tax saving,3,3
Male,25,1,400000,Marketing ,2000,Self motivation ,Investors in bank,Construction of own House / Buying a new Car,3,3
Female,42,0,80,Chit fund,0,Through Bank,Mobile applications,Construction of own House / Buying a new Car,9,3
Male,29,1,180000,"Stocks - Intraday, long term",2000,Through Bank,Family members/Friends,Regarding your / Your Siblings marriage,3,0
Female,42,1,80,Not prepared ,2000,Self,Social media/ Articles,Personal Savings,1,0
Male,31,0,350000,Chit fund,5000,Agents/Investment brokers,Mobile applications,Tax saving,25,4
Male,23,1,150000,Crypto currency,5000,Self Interest ,Brokers,Personal Savings,3,2
Male,27,1,350000,Crypto currency,0,Agents/Investment brokers,Investors in bank,Regarding your / Your Siblings marriage,15,2
Female,27,0,300000,Crypto currency,5000,Self,Mobile applications,Tax saving,4,0
Female,31,1,0,"Real estate, Bonds",7000,Self motivation ,Mobile applications,Regarding your / Your Siblings marriage,8,2
Male,57,1,200000,"Banking - RD, FD",1000,Friends,Brokers,Tax saving,9,0
Female,33,1,0,Not prepared ,5000,Schemes,Brokers,Construction of own House / Buying a new Car,7,2
Male,53,1,280000,Not prepared ,10000,No one,Brokers,Planning for finacial freedom after Retirement,9,0
Female,31,0,360000,Crypto currency,1000,Through Bank,Social media/ Articles,Construction of own House / Buying a new Car,9,5
Female,42,1,200000,Chit fund,2000,Family member,Brokers,Wealth generation,15,5
Male,47,0,280000,Marketing ,10000,Self,Investors in bank,Regarding your / Your Siblings marriage,9,5
Female,28,0,400000,Chit fund,10000,Self Interest ,Family members/Friends,Construction of own House / Buying a new Car,10,2
Male,48,1,180000,Gold / Any other Materialistic investment,0,Through Bank,Investors in bank,Tax saving,2,0
Female,34,0,280000,Mutual Funds,3000,Schemes,Investors in bank,Tax saving,2,2
Female,34,1,600000,Marketing ,3000,Self Interest ,Social media/ Articles,Children's education/ Marriage,2,3
Female,54,0,150000,"Stocks - Intraday, long term",1000,Friends,News articles / Current affairs,Construction of own House / Buying a new Car,4,3
Female,48,1,150000,"Stocks - Intraday, long term",7000,Self ,Social media/ Articles,Tax saving,6,2
Female,30,0,180000,Mutual Funds,3000,Family member,Mobile applications,Wealth generation,7,3
Female,50,0,180000,Gold / Any other Materialistic investment,0,Self motivation ,Brokers,Tax saving,15,1
Female,18,1,0,Gold / Any other Materialistic investment,3000,Self ,Brokers,Planning for finacial freedom after Retirement,8,4
Male,46,0,300000,Chit fund,10000,Schemes,Brokers,All the above ,7,4
Male,34,0,384000,Marketing ,10000,No one,Books,Regarding your / Your Siblings marriage,1,4
Female,55,1,500000,Crypto currency,10000,Friends,Social media/ Articles,Children's education/ Marriage,21,0
Male,33,0,300000,Marketing ,1000,Self motivation ,News articles / Current affairs,Wealth generation,3,7
Male,43,1,500000,"Real estate, Bonds",0,Agents/Investment brokers,Family members/Friends,Personal Savings,21,1
Female,27,0,600000,Crypto currency,2000,Self motivation ,Mobile applications,Personal Savings,9,7
Female,22,1,0,Not prepared ,0,No one,Mobile applications,Tax saving,21,1
Male,26,1,0,"Banking - RD, FD",5000,Family member,Investors in bank,All the above ,20,3
Male,27,0,600000,Chit fund,0,Self ,News articles / Current affairs,Planning for finacial freedom after Retirement,2,8
Male,44,0,250000,Marketing ,2000,Self motivation ,Family members/Friends,Personal Savings,15,7
Female,44,1,250000,"Banking - RD, FD",7000,No one,News articles / Current affairs,Personal Savings,6,8
Female,21,1,360000,"Banking - RD, FD",1000,Social media/ Articles,Brokers,Wealth generation,1,7
Male,40,1,260000,Gold / Any other Materialistic investment,10000,Self Interest ,News articles / Current affairs,Personal Savings,25,1
Female,31,0,600000,"Real estate, Bonds",1000,Agents/Investment brokers,Brokers,Wealth generation,10,3
Male,30,1,200000,Gold / Any other Materialistic investment,1000,Self motivation ,Books,Tax saving,3,4
Male,19,0,260000,"Stocks - Intraday, long term",10000,Through Bank,Family members/Friends,Wealth generation,25,1
Male,23,1,150000,Marketing ,3000,Self,News articles / Current affairs,Construction of own House / Buying a new Car,2,4
Female,45,1,0,"Real estate, Bonds",7000,Family member,News articles / Current affairs,Tax saving,2,6
Female,52,1,80,"Banking - RD, FD",2000,Self ,Brokers,Personal Savings,8,4
Female,44,0,150000,Gold / Any other Materialistic investment,10000,Agents/Investment brokers,Mobile applications,Construction of own House / Buying a new Car,9,0
Male,36,1,350000,Not prepared ,5000,Self,Brokers,Wealth generation,3,1
Female,30,0,500000,Marketing ,10000,Agents/Investment brokers,Social media/ Articles,Wealth generation,1,7
Female,48,0,300000,Chit fund,5000,Schemes,Brokers,Construction of own House / Buying a new Car,1,2
Female,31,0,350000,"Real estate, Bonds",1000,Self,Brokers,Regarding your / Your Siblings marriage,3,6
Female,42,1,350000,Not prepared ,10000,Self Interest ,Family members/Friends,Personal Savings,20,1
Male,36,0,384000,Mutual Funds,3000,Friends,Social media/ Articles,Children's education/ Marriage,10,0
Male,27,0,500000,Mutual Funds,3000,Self Interest ,Brokers,All the above ,10,3
Male,28,0,360000,Chit fund,2000,Social media/ Articles,Books,Construction of own House / Buying a new Car,15,4
Female,34,1,80,"Stocks - Intraday, long term",0,Self,Books,Regarding your / Your Siblings marriage,20,2
Female,59,0,400000,"Real estate, Bonds",1000,Agents/Investment brokers,News articles / Current affairs,Personal Savings,21,4
Female,30,0,500000,"Stocks - Intraday, long term",0,Self motivation ,Social media/ Articles,Tax saving,3,0
Male,39,1,280000,Crypto currency,5000,Self ,Investors in bank,All the above ,20,8
Male,50,0,120000,"Banking - RD, FD",7000,No one,Books,All the above ,15,0
Female,18,0,180000,Chit fund,1000,Schemes,News articles / Current affairs,Personal Savings,25,0
Male,38,1,200000,"Stocks - Intraday, long term",2000,Agents/Investment brokers,Brokers,Planning for finacial freedom after Retirement,25,3
Female,38,0,0,Marketing ,2000,Self Interest ,Investors in bank,Tax saving,7,7
Male,53,0,0,Not prepared ,2000,Social media/ Articles,Family members/Friends,Construction of own House / Buying a new Car,4,0
Female,30,0,400000,Gold / Any other Materialistic investment,7000,Social media/ Articles,Social media/ Articles,Regarding your / Your Siblings marriage,21,8
Male,18,1,150000,"Stocks - Intraday, long term",5000,Social media/ Articles,Investors in bank,Personal Savings,2,6
Female,50,0,180000,Gold / Any other Materialistic investment,10000,Self motivation ,News articles / Current affairs,Construction of own House / Buying a new Car,1,2
Male,34,0,150000,"Stocks - Intraday, long term",3000,Self,Social media/ Articles,Children's education/ Marriage,20,6
Male,38,0,400000,"Real estate, Bonds",1000,Self motivation ,Mobile applications,Regarding your / Your Siblings marriage,2,0
Female,35,1,80,Gold / Any other Materialistic investment,2000,Self,Investors in bank,Children's education/ Marriage,6,6
Male,27,0,0,Mutual Funds,1000,Self motivation ,News articles / Current affairs,Construction of own House / Buying a new Car,1,0
Female,33,0,150000,Mutual Funds,10000,No one,News articles / Current affairs,Personal Savings,4,3
Male,21,0,0,"Stocks - Intraday, long term",7000,Self Interest ,Brokers,Regarding your / Your Siblings marriage,10,2
Male,53,1,250000,Marketing ,7000,Social media/ Articles,Books,Planning for finacial freedom after Retirement,1,6
Male,49,0,150000,"Banking - RD, FD",5000,Friends,Books,Children's education/ Marriage,15,5
Female,45,1,300000,Mutual Funds,10000,Agents/Investment brokers,Mobile applications,All the above ,25,8
Female,38,1,180000,Not prepared ,5000,Family member,Brokers,Children's education/ Marriage,3,4
Male,26,0,120000,Crypto currency,1000,Schemes,News articles / Current affairs,Wealth generation,4,6
Female,38,0,400000,"Real estate, Bonds",3000,Self,Social media/ Articles,All the above ,20,2
Male,29,0,250000,"Stocks - Intraday, long term",5000,Schemes,Family members/Friends,Tax saving,8,3
Male,39,0,260000,Chit fund,2000,Self Interest ,News articles / Current affairs,All the above ,7,3
Female,38,1,180000,"Real estate, Bonds",0,Agents/Investment brokers,Books,Regarding your / Your Siblings marriage,25,2
Male,39,1,0,"Real estate, Bonds",10000,Friends,Books,Regarding your / Your Siblings marriage,20,8
Female,59,1,150000,"Stocks - Intraday, long term",0,Self ,News articles / Current affairs,Regarding your / Your Siblings marriage,15,0
Female,27,1,600000,Crypto currency,1000,Schemes,Books,Regarding your / Your Siblings marriage,25,0
Male,36,0,260000,"Stocks - Intraday, long term",5000,Through Bank,Mobile applications,Personal Savings,5,8
Female,43,1,350000,"Banking - RD, FD",5000,Family member,Investors in bank,Children's education/ Marriage,15,3
Female,20,1,120000,Not prepared ,7000,Friends,Family members/Friends,Tax saving,5,3
Female,22,1,150000,Marketing ,10000,Self,Investors in bank,Personal Savings,3,2
Male,40,0,120000,Crypto currency,3000,No one,News articles / Current affairs,Wealth generation,10,0
Male,51,1,260000,Not prepared ,10000,Friends,Family members/Friends,Tax saving,10,3
Male,37,1,500000,"Banking - RD, FD",5000,Self Interest ,Brokers,Wealth generation,3,0
Male,59,0,600000,Crypto currency,10000,Friends,Investors in bank,Construction of own House / Buying a new Car,1,5
Male,30,0,300000,"Real estate, Bonds",5000,No one,Brokers,Regarding your / Your Siblings marriage,20,8
Male,40,0,200000,Gold / Any other Materialistic investment,2000,Friends,Investors in bank,Tax saving,25,1
Female,57,0,250000,Gold / Any other Materialistic investment,0,No one,News articles / Current affairs,Planning for finacial freedom after Retirement,4,6
Male,32,0,120000,Marketing ,7000,Schemes,Social media/ Articles,Regarding your / Your Siblings marriage,15,8
Male,58,0,120000,Chit fund,10000,Schemes,Social media/ Articles,Regarding your / Your Siblings marriage,8,8
Male,37,1,0,Chit fund,7000,Self Interest ,Family members/Friends,Construction of own House / Buying a new Car,6,5
Male,24,0,600000,Marketing ,2000,Family member,Social media/ Articles,Tax saving,3,2
Male,23,1,600000,Chit fund,1000,Self,Brokers,Construction of own House / Buying a new Car,5,5
Male,56,1,200000,"Real estate, Bonds",7000,Friends,Books,Tax saving,1,7
Female,29,1,350000,Not prepared ,5000,Friends,Books,All the above ,20,7
Male,26,1,180000,Crypto currency,7000,Schemes,Books,Regarding your / Your Siblings marriage,3,1
Female,44,0,360000,"Stocks - Intraday, long term",0,Agents/Investment brokers,Family members/Friends,All the above ,2,1
Female,25,1,500000,Gold / Any other Materialistic investment,7000,No one,News articles / Current affairs,Planning for finacial freedom after Retirement,7,6
Male,58,1,300000,Chit fund,7000,No one,Books,Personal Savings,9,6
Male,29,1,250000,Chit fund,0,Self,Family members/Friends,Regarding your / Your Siblings marriage,9,5
Male,42,0,300000,Crypto currency,7000,Friends,Brokers,Planning for finacial freedom after Retirement,5,2
Male,33,0,150000,"Banking - RD, FD",3000,Self,Brokers,Personal Savings,4,0
Female,24,0,150000,Mutual Funds,7000,Family member,Family members/Friends,Planning for finacial freedom after Retirement,9,3
Female,27,0,600000,"Stocks - Intraday, long term",2000,Self ,Family members/Friends,Tax saving,10,8
Male,39,1,0,Marketing ,2000,Agents/Investment brokers,Family members/Friends,All the above ,5,2
Female,56,0,500000,Gold / Any other Materialistic investment,7000,Family member,Social media/ Articles,Construction of own House / Buying a new Car,9,6
Male,29,1,500000,"Banking - RD, FD",0,Through Bank,News articles / Current affairs,All the above ,8,4
Male,33,0,500000,Not prepared ,5000,No one,News articles / Current affairs,Tax saving,9,4
Female,46,1,350000,Mutual Funds,0,Self motivation ,Investors in bank,Wealth generation,10,1
Male,28,1,500000,"Stocks - Intraday, long term",2000,Through Bank,Books,Wealth generation,4,7
Male,59,1,280000,Gold / Any other Materialistic investment,7000,Through Bank,Social media/ Articles,Wealth generation,25,2
Male,58,0,600000,Chit fund,7000,Through Bank,Social media/ Articles,Tax saving,21,1
Male,54,1,400000,Mutual Funds,3000,Social media/ Articles,Mobile applications,Personal Savings,4,2
Female,42,1,300000,Not prepared ,5000,Friends,Family members/Friends,Planning for finacial freedom after Retirement,15,4
Male,30,1,300000,"Stocks - Intraday, long term",0,No one,Investors in bank,Regarding your / Your Siblings marriage,9,8
Female,41,0,80,Marketing ,2000,Through Bank,Social media/ Articles,Children's education/ Marriage,5,7
Male,34,1,384000,"Real estate, Bonds",0,Schemes,Books,Personal Savings,15,1
Female,25,1,260000,Marketing ,5000,Schemes,Mobile applications,Construction of own House / Buying a new Car,1,1
Male,57,1,250000,"Stocks - Intraday, long term",2000,Self Interest ,Family members/Friends,Wealth generation,6,3
Male,24,1,180000,Chit fund,2000,Family member,Mobile applications,Wealth generation,3,5
Female,31,1,80,"Banking - RD, FD",5000,Self motivation ,Brokers,Personal Savings,3,7
Female,20,0,300000,Chit fund,0,Self Interest ,Social media/ Articles,Children's education/ Marriage,9,8
